year,State,pm25,operational,scrubbers,inactive
1999,AL,0.178004239,39,4,0
2000,AL,0.206830699,39,4,0
2001,AL,0.154191168,39,4,0
2002,AL,0.156982645,39,4,0
2003,AL,0.166607537,44,4,0
2004,AL,0.189506476,48,4,0
2005,AL,0.211790544,47,4,1
2006,AL,0.211100317,47,4,1
2007,AL,0.192336747,47,8,1
2008,AL,0.155473014,47,8,1
2009,AL,0.106842971,47,9,1
2010,AL,0.089966623,47,13,1
2011,AL,0.101536376,47,14,1
2012,AL,0.053943957,47,14,1
2013,AL,0.042537054,45,14,3
2014,AL,0.046637026,39,14,9
2015,AL,0.028365952,34,14,14
2016,AL,0.007558878,23,12,25
2017,AL,0.004276564,16,12,32
2018,AL,0.004140807,15,12,33
1999,AR,0.010322782,5,0,0
2000,AR,0.008889492,5,0,0
2001,AR,0.00788034,5,0,0
2002,AR,0.006857107,5,0,0
2003,AR,0.008384242,5,0,0
2004,AR,0.009079094,5,0,0
2005,AR,0.006497004,5,0,0
2006,AR,0.009830054,5,0,0
2007,AR,0.008908144,5,0,0
2008,AR,0.009845884,5,0,0
2009,AR,0.009179576,5,0,0
2010,AR,0.01122753,5,0,0
2011,AR,0.009080688,6,1,0
2012,AR,0.011802076,6,1,0
2013,AR,0.011385284,7,2,0
2014,AR,0.01208158,7,2,0
2015,AR,0.00604772,7,2,0
2016,AR,0.005231905,7,3,0
2017,AR,0.005820454,7,3,0
2018,AR,0.005110578,7,3,0
1999,AZ,0.001383155,14,11,0
2000,AZ,0.001240211,14,11,0
2001,AZ,0.000887061,14,11,0
2002,AZ,0.000787752,14,11,0
2003,AZ,0.001055096,14,11,0
2004,AZ,0.000949701,14,11,0
2005,AZ,0.000829631,14,11,0
2006,AZ,0.00120305,14,11,0
2007,AZ,0.000919859,15,12,0
2008,AZ,0.000884145,15,13,0
2009,AZ,0.000530296,15,14,0
2010,AZ,0.000602399,16,15,0
2011,AZ,0.000504415,16,15,0
2012,AZ,0.000355186,16,15,0
2013,AZ,0.000302714,16,15,0
2014,AZ,0.000473193,16,15,0
2015,AZ,0.000237023,15,14,1
2016,AZ,0.000156706,15,14,1
2017,AZ,0.000148345,14,14,2
2018,AZ,0.000236785,14,14,2
1999,CO,0.003183033,24,10,0
2000,CO,0.00333652,24,10,0
2001,CO,0.003235443,24,10,0
2002,CO,0.001791887,24,14,0
2003,CO,0.002185076,22,14,2
2004,CO,0.001812356,22,14,2
2005,CO,0.002215233,22,14,2
2006,CO,0.001682446,22,14,2
2007,CO,0.002270902,22,14,2
2008,CO,0.001930727,22,16,2
2009,CO,0.001539047,22,16,2
2010,CO,0.0012576,23,18,1
2011,CO,0.001800101,21,18,3
2012,CO,0.001157455,20,16,4
2013,CO,0.001590742,19,16,5
2014,CO,0.001189931,18,15,6
2015,CO,0.000788329,17,15,7
2016,CO,0.000526333,17,16,7
2017,CO,0.000485563,16,17,8
2018,CO,0.000292322,14,14,10
1999,CT,0.000271212,3,0,0
2000,CT,0.000235564,3,2,0
2001,CT,0.000175381,3,2,0
2002,CT,7.12E-05,3,2,0
2003,CT,8.57E-05,3,2,0
2004,CT,6.58E-05,3,2,0
2005,CT,0.000170028,3,2,0
2006,CT,6.66E-05,3,2,0
2007,CT,0.000260459,3,2,0
2008,CT,0.000104716,3,2,0
2009,CT,1.39E-05,3,2,0
2010,CT,2.49E-05,3,2,0
2011,CT,4.45E-06,3,2,0
2012,CT,3.48E-06,1,0,2
2013,CT,5.89E-06,1,0,2
2014,CT,1.75E-05,1,0,2
2015,CT,7.07E-06,1,0,2
2016,CT,9.40E-06,1,0,2
2017,CT,1.78E-06,1,0,2
2018,CT,4.90E-06,1,0,2
1999,DE,0.001201583,7,0,0
2000,DE,0.002702183,7,0,0
2001,DE,0.000922633,7,0,0
2002,DE,0.002531406,7,0,0
2003,DE,0.001543526,7,0,0
2004,DE,0.001543388,7,0,0
2005,DE,0.003399557,7,0,0
2006,DE,0.001652648,7,0,0
2007,DE,0.004841389,7,0,0
2008,DE,0.002005784,7,0,0
2009,DE,0.000652625,7,0,0
2010,DE,0.001291782,7,0,0
2011,DE,0.000204481,4,1,3
2012,DE,0.000172123,3,1,4
2013,DE,0.000224586,2,1,5
2014,DE,4.16E-05,1,1,6
2015,DE,9.25E-05,1,1,6
2016,DE,3.09E-05,1,1,6
2017,DE,1.72E-05,1,1,6
2018,DE,6.06E-05,1,1,6
1999,FL,0.080491514,31,11,0
2000,FL,0.074630283,31,11,0
2001,FL,0.053987747,31,11,0
2002,FL,0.072058588,31,11,0
2003,FL,0.060879294,33,13,0
2004,FL,0.055845583,27,13,6
2005,FL,0.056743453,26,13,7
2006,FL,0.042275095,26,13,7
2007,FL,0.05274215,26,13,7
