year,State,pm25,scrubbers,inactive,non_scrubbers,operational
1999,AL,0.178004239,4,0,35,39
2000,AL,0.206830699,4,0,35,39
2001,AL,0.154191168,4,0,35,39
2002,AL,0.156982645,4,0,35,39
2003,AL,0.166607537,4,0,40,44
2004,AL,0.189506476,4,0,44,48
2005,AL,0.211790544,4,1,43,47
2006,AL,0.211100317,4,1,43,47
2007,AL,0.192336747,8,1,39,47
2008,AL,0.155473014,8,1,39,47
2009,AL,0.106842971,9,1,38,47
2010,AL,0.089966623,13,1,34,47
2011,AL,0.101536376,14,1,33,47
2012,AL,0.053943957,14,1,33,47
2013,AL,0.042537054,14,3,31,45
2014,AL,0.046637026,14,9,25,39
2015,AL,0.028365952,14,14,20,34
2016,AL,0.007558878,12,25,11,23
2017,AL,0.004276564,12,32,4,16
2018,AL,0.004140807,12,33,3,15
1999,AR,0.010322782,0,0,5,5
2000,AR,0.008889492,0,0,5,5
2001,AR,0.00788034,0,0,5,5
2002,AR,0.006857107,0,0,5,5
2003,AR,0.008384242,0,0,5,5
2004,AR,0.009079094,0,0,5,5
2005,AR,0.006497004,0,0,5,5
2006,AR,0.009830054,0,0,5,5
2007,AR,0.008908144,0,0,5,5
2008,AR,0.009845884,0,0,5,5
2009,AR,0.009179576,0,0,5,5
2010,AR,0.01122753,0,0,5,5
2011,AR,0.009080688,1,0,5,6
2012,AR,0.011802076,1,0,5,6
2013,AR,0.011385284,2,0,5,7
2014,AR,0.01208158,2,0,5,7
2015,AR,0.00604772,2,0,5,7
2016,AR,0.005231905,3,0,4,7
2017,AR,0.005820454,3,0,4,7
2018,AR,0.005110578,3,0,4,7
1999,AZ,0.001383155,11,0,3,14
2000,AZ,0.001240211,11,0,3,14
2001,AZ,0.000887061,11,0,3,14
2002,AZ,0.000787752,11,0,3,14
2003,AZ,0.001055096,11,0,3,14
2004,AZ,0.000949701,11,0,3,14
2005,AZ,0.000829631,11,0,3,14
2006,AZ,0.00120305,11,0,3,14
2007,AZ,0.000919859,12,0,3,15
2008,AZ,0.000884145,13,0,2,15
2009,AZ,0.000530296,14,0,1,15
2010,AZ,0.000602399,15,0,1,16
2011,AZ,0.000504415,15,0,1,16
2012,AZ,0.000355186,15,0,1,16
2013,AZ,0.000302714,15,0,1,16
2014,AZ,0.000473193,15,0,1,16
2015,AZ,0.000237023,14,1,1,15
2016,AZ,0.000156706,14,1,1,15
2017,AZ,0.000148345,14,2,0,14
2018,AZ,0.000236785,14,2,0,14
1999,CO,0.003183033,10,0,14,24
2000,CO,0.00333652,10,0,14,24
2001,CO,0.003235443,10,0,14,24
2002,CO,0.001791887,14,0,10,24
2003,CO,0.002185076,14,2,8,22
2004,CO,0.001812356,14,2,8,22
2005,CO,0.002215233,14,2,8,22
2006,CO,0.001682446,14,2,8,22
2007,CO,0.002270902,14,2,8,22
2008,CO,0.001930727,16,2,6,22
2009,CO,0.001539047,16,2,6,22
2010,CO,0.0012576,18,1,5,23
2011,CO,0.001800101,18,3,3,21
2012,CO,0.001157455,16,4,4,20
2013,CO,0.001590742,16,5,3,19
2014,CO,0.001189931,15,6,3,18
2015,CO,0.000788329,15,7,2,17
2016,CO,0.000526333,16,7,1,17
2017,CO,0.000485563,17,8,-1,16
2018,CO,0.000292322,14,10,0,14
1999,CT,0.000271212,0,0,3,3
2000,CT,0.000235564,2,0,1,3
2001,CT,0.000175381,2,0,1,3
2002,CT,7.12E-05,2,0,1,3
2003,CT,8.57E-05,2,0,1,3
2004,CT,6.58E-05,2,0,1,3
2005,CT,0.000170028,2,0,1,3
2006,CT,6.66E-05,2,0,1,3
2007,CT,0.000260459,2,0,1,3
2008,CT,0.000104716,2,0,1,3
2009,CT,1.39E-05,2,0,1,3
2010,CT,2.49E-05,2,0,1,3
2011,CT,4.45E-06,2,0,1,3
2012,CT,3.48E-06,0,2,1,1
2013,CT,5.89E-06,0,2,1,1
2014,CT,1.75E-05,0,2,1,1
2015,CT,7.07E-06,0,2,1,1
2016,CT,9.40E-06,0,2,1,1
2017,CT,1.78E-06,0,2,1,1
2018,CT,4.90E-06,0,2,1,1
1999,DE,0.001201583,0,0,7,7
2000,DE,0.002702183,0,0,7,7
2001,DE,0.000922633,0,0,7,7
2002,DE,0.002531406,0,0,7,7
2003,DE,0.001543526,0,0,7,7
2004,DE,0.001543388,0,0,7,7
2005,DE,0.003399557,0,0,7,7
2006,DE,0.001652648,0,0,7,7
2007,DE,0.004841389,0,0,7,7
2008,DE,0.002005784,0,0,7,7
2009,DE,0.000652625,0,0,7,7
2010,DE,0.001291782,0,0,7,7
2011,DE,0.000204481,1,3,3,4
2012,DE,0.000172123,1,4,2,3
2013,DE,0.000224586,1,5,1,2
2014,DE,4.16E-05,1,6,0,1
2015,DE,9.25E-05,1,6,0,1
2016,DE,3.09E-05,1,6,0,1
2017,DE,1.72E-05,1,6,0,1
2018,DE,6.06E-05,1,6,0,1
1999,FL,0.080491514,11,0,20,31
2000,FL,0.074630283,11,0,20,31
2001,FL,0.053987747,11,0,20,31
2002,FL,0.072058588,11,0,20,31
2003,FL,0.060879294,13,0,20,33
2004,FL,0.055845583,13,6,14,27
2005,FL,0.056743453,13,7,13,26
2006,FL,0.042275095,13,7,13,26
2007,FL,0.05274215,13,7,13,26
2008,FL,0.035830696,18,2,13,31
2009,FL,0.034791347,20,2,11,31
2010,FL,0.024715478,25,2,6,31
2011,FL,0.016348766,25,2,6,31
2012,FL,0.015914454,25,2,6,31
2013,FL,0.020918371,25,2,6,31
2014,FL,0.022194838,24,3,6,30
2015,FL,0.010378697,24,5,4,28
2016,FL,0.007559531,24,7,2,26
2017,FL,0.00721644,21,10,2,23
2018,FL,0.006017381,19,12,2,21
1999,GA,0.405119384,1,0,34,35
2000,GA,0.447696684,1,0,35,36
2001,GA,0.41396992,1,0,35,36
2002,GA,0.403385363,1,0,35,36
2003,GA,0.496835865,1,4,31,32
2004,GA,0.507546092,1,4,31,32
2005,GA,0.611175544,1,4,31,32
2006,GA,0.64179104,1,4,31,32
2007,GA,0.676943686,1,4,31,32
2008,GA,0.478649185,8,4,24,32
2009,GA,0.234059656,10,4,22,32
2010,GA,0.236645029,12,4,20,32
2011,GA,0.24214555,12,5,19,31
2012,GA,0.097727484,13,6,17,30
2013,GA,0.103658406,15,7,14,29
2014,GA,0.065213553,15,7,14,29
2015,GA,0.019383525,14,19,3,17
2016,GA,0.018569409,14,21,1,15
2017,GA,0.015346732,14,21,1,15
2018,GA,0.012028755,14,21,1,15
1999,IA,0.011215133,1,0,36,37
2000,IA,0.013201285,1,0,36,37
2001,IA,0.00800507,1,0,36,37
2002,IA,0.006110458,1,0,36,37
2003,IA,0.010089537,1,0,36,37
2004,IA,0.007111151,1,0,36,37
2005,IA,0.007800455,1,0,36,37
2006,IA,0.011292868,1,0,36,37
2007,IA,0.008838245,2,0,35,37
2008,IA,0.00939422,3,0,35,38
2009,IA,0.006907213,4,0,34,38
2010,IA,0.00831141,4,0,34,38
2011,IA,0.008068128,4,7,27,31
2012,IA,0.005285277,4,12,22,26
2013,IA,0.007333789,4,16,18,22
2014,IA,0.005239584,7,16,15,22
2015,IA,0.002821617,8,19,11,19
2016,IA,0.002345666,8,24,6,14
2017,IA,0.001754938,8,25,5,13
2018,IA,0.002595931,8,26,4,12
1999,IL,0.083614833,3,0,60,63
2000,IL,0.056402194,3,0,60,63
2001,IL,0.03819443,5,3,55,60
2002,IL,0.029514906,5,3,55,60
